campus_id,campus_name,hospital_name,province,province_en,city,city_en,evidence_year,bed_value,status_event,source_urls
P2C000248,中山市人民医院主院区,中山市人民医院,广东省,Guangdong,中山市,Zhongshan,2024,2000,,https://www.zsph.com/introduce/|https://zsrbapp.zsnews.cn/home/content/newsContent/0/652389
P2C000251,温州市第七人民医院（潘桥院区）,温州市第七人民医院,浙江省,Zhejiang,温州市,Wenzhou,2024,1100,,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1902/site/attach/0/59c3d3bf00594b138c087eb4e77c7cdd.pdf
P2C000254,宁波市第六医院,宁波市第六医院,浙江省,Zhejiang,宁波市,Ningbo,2023,900,,https://www.nbyz.gov.cn/art/2023/11/1/art_1229751976_59210712.html
P2C000255,杭州市第七人民医院（浙西院区）,杭州市第七人民医院,浙江省,Zhejiang,杭州市,Hangzhou,2024,150,,https://mobile.epaper.routeryun.com/index.php/home/article/index/appkey/78/date/2024-02-21/page/1472700/aid/8207246.html|https://www.hz7hospital.com/mindex/aboutinfo.html
P2C000256,丽水市人民医院（东城院区）,丽水市人民医院,浙江省,Zhejiang,丽水市,Lishui,2022,1079,,https://m.youlai.cn/sg/yyk/hospindex/2652/
P2C000256,丽水市人民医院（东城院区）,丽水市人民医院,浙江省,Zhejiang,丽水市,Lishui,2023,1079,,https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1756/site/attach/0/92aabf6d862c41429ffe324a5573055f.pdf
P2C000259,兰州大学第二医院康泰分院,兰州大学第二医院,甘肃省,Gansu,兰州市,Lanzhou,2014,256,,https://www.lzush.com.cn/Item/16546.aspx
P2C000260,兰州大学第一医院（东岗院区）,兰州大学第一医院,甘肃省,Gansu,兰州市,Lanzhou,2015,362,,https://mhos.51daifu.com/hos1994/intro.shtml
P2C000261,兰州大学第一医院（西站院区）,兰州大学第一医院,甘肃省,Gansu,兰州市,Lanzhou,2015,78,,https://mhos.51daifu.com/hos1994/intro.shtml|https://www.mfk.com/guahao/hospitalbase/1759_4_0_0
P2C000261,兰州大学第一医院（西站院区）,兰州大学第一医院,甘肃省,Gansu,兰州市,Lanzhou,2019,78,,https://www.114gh.com/yy/gs/4201.html
P2C000261,兰州大学第一医院（西站院区）,兰州大学第一医院,甘肃省,Gansu,兰州市,Lanzhou,2024,80,,https://health.baidu.com/doctordec/hosintro/1000281
P2C000264,定西市人民医院镇龙路旧院区（历史院区）,定西市人民医院,甘肃省,Gansu,定西市,Dingxi,2014,250,,https://js.guahaoe.com/hospital/desc/4d0d6f58-b0e0-4065-9d40-613ff2958288000
P2C000265,嘉峪关市第一人民医院南院区,嘉峪关市第一人民医院,甘肃省,Gansu,嘉峪关市,Jiayuguan,2021,500,,https://gov.gscn.com.cn/system/2021/11/12/012668545.shtml
