legal_entity_id,hospital_legal_entity_name,aliases_or_campus_names,institution_category,province,province_en,city,city_en,tertiary_grade_a_analysis_start_year,primary_source_urls
LE001483,甘肃省人民医院,,general_hospital,甘肃省,Gansu,兰州市,Lanzhou,2014,https://www.nhc.gov.cn/yzygj/s10347/200911/a4005a646970451f85c30339aae81197.shtml
LE001484,甘肃省第二人民医院,,general_hospital,甘肃省,Gansu,兰州市,Lanzhou,2014,https://s.dayi.org.cn/mip/s/hospital/1129602.html
LE001485,甘肃省肿瘤医院,,specialized_hospital,甘肃省,Gansu,兰州市,Lanzhou,2014,https://www.dayi.org.cn/hospital/1130554
LE001486,嘉峪关市第一人民医院,,general_hospital,甘肃省,Gansu,嘉峪关市,Jiayuguan,2021,https://gansu.gscn.com.cn/system/2021/06/07/012597592.shtml
LE001487,天水市中医医院,天水市中医院,traditional_chinese_medicine_hospital,甘肃省,Gansu,天水市,Tianshui,2014,https://tszyyy.cn/shows/30/488.html
LE001488,天水市第一人民医院,,general_hospital,甘肃省,Gansu,天水市,Tianshui,2014,https://www.gsdfszw.org.cn/gssz_58/del_70/tss_242/202011/P020201102570340811451.pdf
LE001489,天水市第二人民医院,天水市中西医结合医院,traditional_chinese_and_western_medicine_hospital,甘肃省,Gansu,天水市,Tianshui,2014,https://www.dayi.org.cn/hospital/954.html
LE001490,定西市人民医院,,general_hospital,甘肃省,Gansu,定西市,Dingxi,2014,https://s.dayi.org.cn/mip/s/hospital/1133929.html
LE001491,甘肃医学院附属医院,平凉市人民医院,general_hospital,甘肃省,Gansu,平凉市,Pingliang,2014,https://gsyxyfsyy.cn/about/intro
LE001492,庆阳市中医医院,庆阳市中医院,traditional_chinese_medicine_hospital,甘肃省,Gansu,庆阳市,Qingyang,2014,https://wsjk.zgqingyang.gov.cn/xwzx/gggs/content_231664
LE001493,庆阳市人民医院,,general_hospital,甘肃省,Gansu,庆阳市,Qingyang,2014,https://y.dxy.cn/hospital/1603
LE001494,河西学院附属张掖人民医院,,general_hospital,甘肃省,Gansu,张掖市,Zhangye,2014,https://www.zhangye.gov.cn/szb/dzdt/dshm/201507/t20150730_51961.html
LE001495,武威市人民医院,,general_hospital,甘肃省,Gansu,武威市,Wuwei,2020,https://www.thepaper.cn/newsDetail_forward_10311679
LE001496,甘肃省武威肿瘤医院,,specialized_hospital,甘肃省,Gansu,武威市,Wuwei,2014,https://static.cninfo.com.cn/finalpage/2016-04-06/1202140053.PDF
LE001497,白银市第一人民医院,,general_hospital,甘肃省,Gansu,白银市,Baiyin,2019,https://www.bydyhos.cn/introduce/
LE001498,酒泉市人民医院,,general_hospital,甘肃省,Gansu,酒泉市,Jiuquan,2014,https://29842318.s21i.faiusr.com/61/ABUIABA9GAAgpfqKugYoidH0cA.pdf
LE001499,金昌市中心医院,金川集团公司职工医院,general_hospital,甘肃省,Gansu,金昌市,Jinchang,2021,https://gansu.gscn.com.cn/system/2021/06/07/012597592.shtml
LE001500,陇南市第一人民医院,,general_hospital,甘肃省,Gansu,陇南市,Longnan,2020,https://www.thepaper.cn/newsDetail_forward_10311679
LE001501,三明市第一医院,,general_hospital,福建省,Fujian,三明市,Sanming,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/9eabfb6adbbe49a49027f7cbe9950c93.shtml
LE001503,南平市第一医院,,general_hospital,福建省,Fujian,南平市,Nanping,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/9eabfb6adbbe49a49027f7cbe9950c93.shtml
LE001504,厦门大学附属中山医院,厦门大学附属中山医院东部分院,general_hospital,福建省,Fujian,厦门市,Xiamen,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/9eabfb6adbbe49a49027f7cbe9950c93.shtml
LE001505,厦门大学附属厦门眼科中心,,specialized_hospital,福建省,Fujian,厦门市,Xiamen,2014,https://www.xiameneye.org.cn/special/bigevent/
LE001507,厦门大学附属翔安医院,,general_hospital,福建省,Fujian,厦门市,Xiamen,2024,https://wjw.fujian.gov.cn/xxgk/fgwj/zxwj/202501/t20250106_6605223.htm
