Year,省级,省级码,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2018,四川省,510000,0.0,178.45530700683594,577263,83661892.0,0.0,577263,83661892.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.144161238299077,0.5822994644735374,9.701011845322906,20.13110155134059,12.340028779267428,0.5334366211533517,0.5298184086629217,0.34091661251867256,22.089317559301673,,,0.3334126070825696,0.19640580158035226,0.5298184086629218,0.0,62.92960033683759,37.07039966316242,21
2018,天津市,120000,0.0,33.62138366699219,16615,13413876.0,0.0,16615,13413876.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,23.30237088621909,13.050341068669054,26.882384593629812,32.60946971104333,10.167887338423942,0.24023755704287297,0.11367158008945685,0.06456706231311138,0.1251912571727963,4.206096437440866,3.1271943743172828,0.11367158008945699,0.0,0.11367158008945699,0.0,100.0,0.0,1
2018,宁夏回族自治区,640000,0.0,29.004846572875977,73722,6530985.0,0.0,73722,6530985.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,9.244561661148063,0.0,0.6055350298780536,20.002178966907774,11.406951996224343,0.643714534355845,0.8477797298064641,0.5376521740292413,45.53152395848406,,,0.19616039118593553,0.6516193386205278,0.8477797298064633,0.0,23.138131791699752,76.86186820830025,5
2018,安徽省,340000,0.0,47.015342712402344,181695,61671946.0,0.0,181695,61671946.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.535899376632456,1.2924668447397176,9.410960400382416,19.508296195701785,12.525000803181355,0.5409199649323919,0.522795965920887,0.32821366564369414,19.152376025235203,,161.51396435618665,0.34092142373901213,0.1818745421818746,0.5227959659208867,0.0,65.21118102709363,34.78881897290638,16
2018,山东省,370000,0.0,45.64627456665039,220379,99261990.0,0.0,220379,99261990.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.8088565444417,5.423093333825118,10.71875518324685,18.07377086642314,9.679317469326357,0.4142538328491062,0.28679180199048254,0.16048431414278752,2.572849889469272,13.442644285259094,4.717018542153164,0.20096380008395132,0.08582800190653161,0.28679180199048293,0.0,70.07306299871857,29.926937001281434,16
2018,山西省,140000,0.0,47.75764846801758,224498,37082874.0,0.0,224498,37082874.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.196697913632612,1.2564380466938019,7.65218699619469,18.386240527841004,13.328722069365913,0.5738859318774758,0.5835874702302849,0.3507864930615249,19.583754484617348,,361.1751316358853,0.2733948647650677,0.3101926054652169,0.5835874702302846,0.0,46.847281463597156,53.152718536402844,11
2018,广东省,440000,0.0,41.5951042175293,216293,108053326.0,0.0,216293,108053326.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.880284433137682,6.6348049532769675,13.395051844394446,21.67160727219148,11.038514061052789,0.4171843283018326,0.3037864839668538,0.19030786742462602,8.063471364129967,42.45495640021251,5.164153462841126,0.12221777055151861,0.18156871341533565,0.30378648396685426,0.0,40.23147078684832,59.76852921315169,21
2018,广西壮族自治区,450000,0.0,57.198734283447266,292610,47719589.0,0.0,292610,47719589.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.547898360912246,0.0,3.884387731552124,17.87114984043478,15.26064795419539,0.6679289166421258,0.8371321815256065,0.5003319040383367,36.80737904092175,,,0.6311682600116075,0.205963921513999,0.8371321815256065,0.0,75.39648742942289,24.60351257057711,14
2018,新疆维吾尔自治区,650000,0.0,78.96347045898438,434399,22566364.0,0.0,434399,22566364.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,19.439342193086272,0.0,6.20301153686186,39.07658916823776,22.346249986083293,0.6151863053708568,0.7703683169691479,0.5104749629287001,46.472626250290034,,,0.4742185603937821,0.2961497565753657,0.7703683169691478,0.0,61.55738105371407,38.44261894628593,15
2018,江苏省,320000,0.0,46.60979461669922,131003,81469512.0,0.0,131003,81469512.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.043774220088478,4.403627679589089,11.548346258345104,17.8901071648899,10.97807896891327,0.45763526194276993,0.3699451445678475,0.2272647063115274,9.115061349575777,335.99107950937304,7.373563247544913,0.23809412783625383,0.1318510167315936,0.36994514456784744,0.0,64.35930605722214,35.640693942777865,13
