variable,year,x,density,bw_adjust,n_grid_rows,population_weight_sum
GDP_per,2023,227454.91959798994,2.874025043989816e-07,5.0,5176700,1330280904.0
GDP_per,2023,228785.06532663316,2.5292280051216764e-07,5.0,5176700,1330280904.0
GDP_per,2023,230115.21105527636,2.2190772159606187e-07,5.0,5176700,1330280904.0
GDP_per,2023,231445.3567839196,1.9421816165530754e-07,5.0,5176700,1330280904.0
GDP_per,2023,232775.5025125628,1.696875233416166e-07,5.0,5176700,1330280904.0
GDP_per,2023,234105.648241206,1.4812798526259164e-07,5.0,5176700,1330280904.0
GDP_per,2023,235435.79396984924,1.293364313044959e-07,5.0,5176700,1330280904.0
GDP_per,2023,236765.93969849244,1.1309991428757066e-07,5.0,5176700,1330280904.0
GDP_per,2023,238096.08542713567,9.920056189683274e-08,5.0,5176700,1330280904.0
GDP_per,2023,239426.23115577886,8.741986708488327e-08,5.0,5176700,1330280904.0
GDP_per,2023,240756.3768844221,7.754233672301801e-08,5.0,5176700,1330280904.0
GDP_per,2023,242086.52261306532,6.935850012698725e-08,5.0,5176700,1330280904.0
GDP_per,2023,243416.66834170852,6.26673024627512e-08,5.0,5176700,1330280904.0
GDP_per,2023,244746.81407035174,5.727792653417765e-08,5.0,5176700,1330280904.0
GDP_per,2023,246076.95979899497,5.301109995193962e-08,5.0,5176700,1330280904.0
GDP_per,2023,247407.10552763817,4.969995327945854e-08,5.0,5176700,1330280904.0
GDP_per,2023,248737.2512562814,4.719049882538364e-08,5.0,5176700,1330280904.0
GDP_per,2023,250067.39698492462,4.534179980506931e-08,5.0,5176700,1330280904.0
GDP_per,2023,251397.54271356782,4.402589627414006e-08,5.0,5176700,1330280904.0
GDP_per,2023,252727.68844221105,4.312754826829121e-08,5.0,5176700,1330280904.0
GDP_per,2023,254057.83417085424,4.2543848725214844e-08,5.0,5176700,1330280904.0
GDP_per,2023,255387.97989949747,4.218374975176027e-08,5.0,5176700,1330280904.0
GDP_per,2023,256718.1256281407,4.1967536345707795e-08,5.0,5176700,1330280904.0
GDP_per,2023,258048.2713567839,4.182627240331659e-08,5.0,5176700,1330280904.0
GDP_per,2023,259378.41708542712,4.1701235273913636e-08,5.0,5176700,1330280904.0
GDP_per,2023,260708.56281407032,4.154334767435848e-08,5.0,5176700,1330280904.0
GDP_per,2023,262038.70854271355,4.1312609733387276e-08,5.0,5176700,1330280904.0
GDP_per,2023,263368.8542713568,4.097752947794502e-08,5.0,5176700,1330280904.0
GDP_per,2023,264699.0,4.051454722744391e-08,5.0,5176700,1330280904.0
GDP_per,2024,0.0,3.553331856433094e-07,5.0,5086517,1333008496.0
GDP_per,2024,1433.859296482412,4.210118344366421e-07,5.0,5086517,1333008496.0
GDP_per,2024,2867.718592964824,4.964751008883158e-07,5.0,5086517,1333008496.0
GDP_per,2024,4301.577889447236,5.827108401828026e-07,5.0,5086517,1333008496.0
GDP_per,2024,5735.437185929648,6.807209256195202e-07,5.0,5086517,1333008496.0
GDP_per,2024,7169.29648241206,7.915047490522229e-07,5.0,5086517,1333008496.0
GDP_per,2024,8603.155778894472,9.160402233276621e-07,5.0,5086517,1333008496.0
GDP_per,2024,10037.015075376883,1.0552624567457046e-06,5.0,5086517,1333008496.0
GDP_per,2024,11470.874371859296,1.2100403743899517e-06,5.0,5086517,1333008496.0
GDP_per,2024,12904.733668341709,1.3811516706379306e-06,5.0,5086517,1333008496.0
GDP_per,2024,14338.59296482412,1.5692565872410934e-06,5.0,5086517,1333008496.0
GDP_per,2024,15772.452261306531,1.7748711174218617e-06,5.0,5086517,1333008496.0
GDP_per,2024,17206.311557788944,1.998340332928388e-06,5.0,5086517,1333008496.0
GDP_per,2024,18640.170854271357,2.239812613151537e-06,5.0,5086517,1333008496.0
GDP_per,2024,20074.030150753766,2.4992156168963345e-06,5.0,5086517,1333008496.0
GDP_per,2024,21507.88944723618,2.7762348739631624e-06,5.0,5086517,1333008496.0
GDP_per,2024,22941.748743718592,3.0702958807019544e-06,5.0,5086517,1333008496.0
GDP_per,2024,24375.608040201005,3.380550556629589e-06,5.0,5086517,1333008496.0
GDP_per,2024,25809.467336683418,3.7058688577265484e-06,5.0,5086517,1333008496.0
GDP_per,2024,27243.326633165827,4.044836243256558e-06,5.0,5086517,1333008496.0
GDP_per,2024,28677.18592964824,4.395757558701191e-06,5.0,5086517,1333008496.0
GDP_per,2024,30111.045226130653,4.7566677309604195e-06,5.0,5086517,1333008496.0
GDP_per,2024,31544.904522613062,5.12534947616469e-06,5.0,5086517,1333008496.0
GDP_per,2024,32978.763819095475,5.499358002670073e-06,5.0,5086517,1333008496.0
GDP_per,2024,34412.62311557789,5.876052459746662e-06,5.0,5086517,1333008496.0
GDP_per,2024,35846.4824120603,6.2526336446063804e-06,5.0,5086517,1333008496.0
GDP_per,2024,37280.34170854271,6.626187245704622e-06,5.0,5086517,1333008496.0
GDP_per,2024,38714.20100502513,6.9937316822455235e-06,5.0,5086517,1333008496.0
GDP_per,2024,40148.06030150753,7.352269403183097e-06,5.0,5086517,1333008496.0
GDP_per,2024,41581.919597989945,7.69884034911641e-06,5.0,5086517,1333008496.0
